simNo_7-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.2-na_0.25-d_0-l_1000000	cell_0,cell_12,cell_13,cell_19,cell_2,cell_3,cell_5,cell_6	mut2	0	3.973461930190952742743004486E-8	0E+35	
simNo_1-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.4-na_0.50-d_0-l_1000000	cell_0,cell_12,cell_13	mut0	0	8.211378892706168307345707219E-8	0E+35	
simNo_5-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.4-na_0.50-d_0-l_1000000	cell_0,cell_12,cell_14,cell_15,cell_16,cell_2,cell_3	mut2	0	4.389712819649266717030737042E-11	0E+38	
simNo_3-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.2-na_0.25-d_0-l_1000000	cell_0,cell_12,cell_14,cell_16,cell_8	mut3	0	2.580404937326815477333854147E-8	0E+35	
simNo_9-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.4-na_0.50-d_0-l_1000000	cell_0,cell_12,cell_16,cell_18,cell_2,cell_3,cell_6,cell_7	mut2	0	5.353825579602536992771992735E-10	0E+37	
simNo_1-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0.25-d_0-l_1000000	cell_0,cell_12,cell_16,cell_4,cell_7,cell_9	mut4	0.000001089144617860206358345400398	0.00001110783512475382028625351320	0.09805192511662750784689052694	
simNo_3-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.2-na_0.50-d_0-l_1000000	cell_0,cell_12,cell_16,cell_8,cell_9	mut4	0	0.000002116613824815479706437425571	0E+33	
simNo_8-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.2-na_0.50-d_0-l_1000000	cell_0,cell_12,cell_18,cell_3,cell_5,cell_7,cell_8	mut0	0	0.06354211192048303888101656994	0E+29	
simNo_5-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.2-na_0.50-d_0-l_1000000	cell_0,cell_13,cell_14,cell_15,cell_16,cell_17,cell_2,cell_3,cell_7	mut4	0	2.865720242314168945104521720E-12	0E+39	
simNo_9-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0.25-d_0-l_1000000	cell_0,cell_13,cell_14,cell_17,cell_2,cell_4,cell_6	mut0	0	1.285696379257672427907586606E-7	0E+34	
